key,instantiatiation,header,summary,availabilityPeriodStart,availabilityPeriodEnd,price,moreInfo
offer-32,2020/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,https://ev.us.es/ultra
offer-33,2022/07/29 23:59,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,https://ev.us.es/ultra
offer-34,2022/07/30 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,https://ev.us.es/ultra
offer-35,1900/07/30 00:01,header1,summary1,2022/07/22 00:00,2023/07/30 00:00,EUR 10.0,https://ev.us.es/ultra
offer-36,2022/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,
offer-37,2022/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,http://example.com/a?b
offer-38,2022/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,http://example.com/a/b/c
offer-39,2022/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,
offer-40,2022/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,ftp://user:pass@scme.org
offer-41,2022/07/20 00:00,header1,summary1,2022/07/22 00:00,2022/07/30 00:00,EUR 10.0,
